freq_MHz,e_00_real,e_00_imag,e_11_real,e_11_imag,delta_e_real,delta_e_imag
1852.000000,3.9620942182e-02,1.9437205054e-02,-6.4664959500e-02,1.8636867699e-01,-1.2826724768e-01,-1.6686225000e-01
1853.000000,3.8003839978e-02,1.8238168186e-02,-9.2083677593e-02,1.7237818778e-01,-1.2579968854e-01,-1.5852099298e-01
1855.000000,3.1778502057e-02,1.5392095868e-02,-2.3581755175e-01,1.4651686601e-01,-6.9372787608e-02,-1.3878701067e-01
1856.000000,3.9411285627e-02,1.9789395627e-02,-1.1679711096e-01,1.2024582616e-01,-1.2499071398e-01,-1.5878392327e-01
1857.000000,3.9107152802e-02,1.8284772554e-02,-8.7575796715e-02,1.5452894923e-01,-1.2580781349e-01,-1.6192635005e-01
1859.000000,-5.2987269045e-02,-3.1683065080e-01,-1.1488512943e+00,9.3769216891e-02,4.5077233799e-02,2.8719068164e-01
1860.000000,3.8330917455e-02,2.1062413124e-02,-2.9451806398e-02,1.2036798165e-01,-1.1341994757e-01,-1.8279608931e-01
1861.000000,3.7360142087e-02,2.1224470801e-02,-4.7933062470e-02,1.2029704579e-01,-1.1589829241e-01,-1.8401593228e-01
1862.000000,3.6863819749e-02,2.3206834192e-02,1.4172816687e-02,1.9350934017e-01,-1.1485455204e-01,-2.0891540007e-01
1863.000000,3.1022962944e-02,2.4588551787e-02,3.7944671951e-02,1.3595319317e-01,-9.6411603445e-02,-2.5008900119e-01
1864.000000,3.8523964841e-02,2.4942184296e-02,-2.8010038467e-02,4.3085574343e-02,-1.3228414327e-01,-2.1057746015e-01
1865.000000,3.6362081349e-02,2.1594845943e-02,-4.2041571374e-02,1.2862663115e-01,-1.0646919387e-01,-1.9146577672e-01
1866.000000,3.7062862069e-02,2.1597515470e-02,-8.6221889493e-02,1.3273405911e-01,-1.1149832710e-01,-1.7642454237e-01
1867.000000,3.6264306255e-02,2.0811531359e-02,-7.8598800245e-02,1.3128821061e-01,-1.0974958950e-01,-1.7860744584e-01
1868.000000,3.6146829293e-02,2.0336077163e-02,-7.9403922426e-02,1.2877212286e-01,-1.0945873163e-01,-1.7783054284e-01
1869.000000,3.6437722385e-02,2.0674802826e-02,-7.8678513108e-02,1.3430013885e-01,-1.0767901580e-01,-1.7839215704e-01
1870.000000,3.6276318984e-02,2.1161751321e-02,-9.1807712955e-02,1.2479253947e-01,-1.0697607919e-01,-1.7776486434e-01
1871.000000,3.6288020225e-02,2.0965031138e-02,-8.4045409283e-02,1.2621469192e-01,-1.0603322736e-01,-1.7864046747e-01
1872.000000,3.5972303166e-02,2.1742050757e-02,-8.5727301933e-02,1.2111799750e-01,-1.0404384396e-01,-1.7957032317e-01
1873.000000,3.4720304847e-02,2.1057318866e-02,-7.4134751092e-02,1.2391255039e-01,-1.0372707406e-01,-1.8378632207e-01
1874.000000,3.5898083577e-02,2.0994035528e-02,-8.0384844458e-02,1.3355844605e-01,-1.0264607037e-01,-1.8430643661e-01
1875.000000,3.5494565206e-02,2.2791036327e-02,-8.5810516813e-02,1.4114188533e-01,-1.0046717511e-01,-1.8415569157e-01
1876.000000,3.5159576324e-02,2.1534462501e-02,-7.3366634964e-02,1.2887799092e-01,-9.9846531526e-02,-1.8853281269e-01
1877.000000,3.4643017868e-02,2.1607523257e-02,-3.0576516541e-02,1.3731180269e-01,-1.0317327398e-01,-1.8598092203e-01
1878.000000,3.4310404022e-02,2.3000467129e-02,-1.1454161967e-02,1.4394382279e-01,-1.0929446126e-01,-1.8262522399e-01
1879.000000,3.5757849579e-02,1.9626832239e-02,3.4935997190e-02,1.0900455391e-01,-9.9767525061e-02,-1.8610338686e-01
1880.000000,4.4591509246e-02,2.2988716899e-02,-2.5772178028e-01,2.8872571543e-01,-8.0417875035e-02,-1.4495444164e-01
1881.000000,3.6155919289e-02,2.0270788721e-02,-7.5858922692e-02,9.7272799914e-02,-1.0919364673e-01,-1.7251656858e-01
1882.000000,3.5067941218e-02,2.0785846594e-02,-9.9564390565e-02,1.1260677426e-01,-1.0332039803e-01,-1.7744681234e-01
1883.000000,3.6366134245e-02,1.9930814000e-02,-1.0291581894e-01,1.3493291652e-01,-9.9332016924e-02,-1.8440181023e-01
1884.000000,3.8638093752e-02,1.9799866076e-02,7.8508938229e-03,1.8589910798e-01,-9.9012617477e-02,-1.8976177559e-01
